breedtegraad,lengtegraad,Totale uitstoot
2,89,550.1600000000001
2,90,531.23
2,91,568.75
2,92,402.28
2,93,403.43
2,94,472.77
2,95,548.28
2,96,445.86
2,97,500.58
2,98,518.4200000000001
2,99,560.04
3,0,2304.17
3,1,5011.13
3,2,5011.13
3,3,5011.13
3,4,2304.17
3,5,486.15000000000003
3,6,427.35
3,7,462.0
3,8,456.90999999999997
3,9,492.97
3,10,489.62
3,11,472.01
3,12,578.89
3,13,509.38
3,14,396.98
3,15,506.51
3,16,368.52
3,17,387.38
3,18,452.36
3,19,457.95000000000005
3,20,503.99
3,21,471.45000000000005
3,22,563.63
3,23,470.61
3,24,496.7
3,25,456.03
3,26,542.1500000000001
3,27,472.6
3,28,528.8299999999999
3,29,469.6
3,30,436.34000000000003
3,31,447.26
3,32,535.66
3,33,419.0
3,34,393.82
3,35,415.49
3,36,529.15
3,37,414.90999999999997
3,38,442.67999999999995
3,39,469.08000000000004
3,40,518.94
3,41,541.2
3,42,423.57
3,43,390.81
3,44,557.86
3,45,499.05
3,46,558.78
3,47,437.23
3,48,439.91999999999996
3,49,491.69
3,50,429.13
3,51,493.40000000000003
3,52,567.18
3,53,483.88
3,54,445.06
3,55,485.61
3,56,490.90999999999997
3,57,533.65
3,58,442.89
3,59,578.9200000000001
3,60,513.38
3,61,447.03
3,62,439.49
3,63,436.68
3,64,481.47
3,65,387.74
3,66,464.71000000000004
3,67,365.64
3,68,449.42999999999995
3,69,558.63
3,70,548.97
3,71,428.21000000000004
3,72,505.0
3,73,572.02
3,74,491.55
3,75,515.01
3,76,439.31
3,77,466.09
3,78,363.71000000000004
3,79,469.64
3,80,352.69
3,81,499.11
3,82,470.38
3,83,478.54999999999995
3,84,488.47
3,85,463.77
3,86,397.79
3,87,493.0799999999999
3,88,466.07
3,89,501.28999999999996
3,90,461.81000000000006
3,91,468.15999999999997
3,92,474.03999999999996
3,93,466.33
3,94,386.12
3,95,524.1800000000001
3,96,401.23
3,97,477.19
3,98,452.96000000000004
3,99,498.08000000000004
4,0,2304.17
4,1,2304.17
4,2,2304.17
4,3,2304.17
4,4,2304.17
4,5,458.39
4,6,407.96999999999997
4,7,487.19000000000005
4,8,505.68
4,9,570.4000000000001
4,10,455.70000000000005
4,11,466.05
4,12,434.28999999999996
4,13,483.28
4,14,480.48
4,15,451.96
4,16,474.85
4,17,498.25999999999993
4,18,498.63
4,19,589.3800000000001
4,20,505.03
4,21,518.63
4,22,503.93999999999994
4,23,485.39
4,24,493.53
4,25,577.85
4,26,511.68
4,27,477.73
4,28,489.11
4,29,461.92999999999995
4,30,542.52
4,31,518.56
4,32,536.19
4,33,423.45
4,34,452.94
4,35,512.24
4,36,531.02
4,37,566.78
4,38,574.32
4,39,541.5899999999999
4,40,476.45
4,41,477.37
4,42,458.29
4,43,496.29
4,44,454.16999999999996
4,45,468.07
4,46,413.65
4,47,474.12
4,48,498.61
4,49,453.22
4,50,500.94
4,51,498.84
4,52,511.43
4,53,449.5
4,54,424.69
4,55,352.6
4,56,513.8
4,57,498.74
4,58,430.91999999999996
4,59,431.65
4,60,514.56
4,61,534.54
4,62,570.2
4,63,475.32000000000005
4,64,598.3900000000001
4,65,470.87
4,66,572.61
4,67,441.39
4,68,431.15
4,69,424.49
4,70,360.85
4,71,542.22
4,72,495.54999999999995
4,73,472.65000000000003
4,74,395.25
4,75,556.95
4,76,573.8199999999999
4,77,533.88
4,78,407.81
4,79,472.44000000000005
4,80,413.84
4,81,512.13
4,82,387.04
4,83,551.01
4,84,442.74
4,85,460.82
4,86,449.75
4,87,441.03000000000003
4,88,511.10999999999996
4,89,482.78
4,90,483.1
4,91,469.49
4,92,520.49
4,93,540.2
4,94,452.80999999999995
4,95,485.78
4,96,473.86
4,97,422.73
4,98,485.57000000000005
4,99,428.66999999999996
5,0,455.17
5,1,510.46000000000004
5,2,417.69000000000005
5,3,358.8
5,4,477.64
5,5,496.88
5,6,425.15999999999997
5,7,474.53999999999996
5,8,447.28
5,9,501.36
5,10,482.97
5,11,484.86
5,12,471.24
5,13,400.61
5,14,439.47
5,15,532.8100000000001
5,16,366.32000000000005
5,17,551.82
5,18,493.24
5,19,372.23
5,20,488.27
5,21,463.09000000000003
5,22,551.38
5,23,440.49
5,24,445.97999999999996
5,25,393.26
5,26,394.61
5,27,512.27
5,28,390.74
5,29,465.63
5,30,395.08000000000004
5,31,457.70000000000005
5,32,593.76
5,33,496.77
5,34,486.77
5,35,459.19
5,36,567.54
5,37,359.44
5,38,597.4200000000001
5,39,541.6700000000001
5,40,463.62
5,41,444.41999999999996
5,42,462.13
5,43,514.24
5,44,430.04999999999995
5,45,512.17
5,46,546.43
5,47,578.16
5,48,472.91
5,49,558.06
5,50,421.36
5,51,429.25
5,52,565.03
5,53,458.54
5,54,575.92
5,55,473.77
5,56,553.15
5,57,507.97
5,58,508.51
5,59,478.65
5,60,481.88
5,61,424.9
5,62,400.75
5,63,565.16
5,64,402.07
5,65,438.96999999999997
5,66,444.1
5,67,514.38
5,68,455.5
5,69,484.33
5,70,568.51
5,71,537.54
5,72,459.42
5,73,580.73
5,74,516.63
5,75,473.95
5,76,478.63
5,77,351.95
5,78,481.84000000000003
5,79,543.94
5,80,423.28000000000003
5,81,436.99
5,82,538.52
5,83,521.83
5,84,538.57
5,85,477.14
5,86,406.06
5,87,484.97
5,88,511.65000000000003
5,89,427.75
5,90,443.81
5,91,467.69
5,92,377.26
5,93,454.61
5,94,511.57000000000005
5,95,516.04
5,96,447.08000000000004
5,97,559.41
5,98,452.20000000000005
5,99,493.01
6,0,498.13
6,1,486.88
6,2,428.07000000000005
6,3,367.59000000000003
6,4,501.59999999999997
6,5,399.31
6,6,502.94000000000005
6,7,557.64
6,8,535.3299999999999
6,9,492.52
6,10,474.18
6,11,493.53999999999996
6,12,546.1700000000001
6,13,519.71
6,14,500.28999999999996
6,15,488.46
6,16,441.6
6,17,521.0799999999999
6,18,520.21
6,19,483.99
6,20,456.73
6,21,466.88
6,22,438.61
6,23,499.46000000000004
6,24,499.79
6,25,483.24
6,26,460.18999999999994
6,27,504.6
6,28,540.11
6,29,514.05
6,30,366.56999999999994
6,31,456.81999999999994
6,32,438.57
6,33,524.86
6,34,441.93
6,35,492.51
6,36,491.05
6,37,472.79
6,38,506.47999999999996
6,39,495.81
6,40,554.24
6,41,454.35
6,42,452.91999999999996
6,43,411.21000000000004
6,44,474.70000000000005
6,45,469.21000000000004
6,46,443.93
6,47,495.72
6,48,450.28000000000003
6,49,428.72
6,50,578.8
6,51,385.46000000000004
6,52,496.18
6,53,405.12
6,54,457.22
6,55,554.1300000000001
6,56,459.0
6,57,413.64
6,58,527.1800000000001
6,59,475.91
6,60,496.98
6,61,530.1800000000001
6,62,505.8
6,63,473.76
6,64,531.69
6,65,429.03999999999996
6,66,386.57
6,67,426.95000000000005
6,68,458.83000000000004
6,69,511.88
6,70,458.36
6,71,506.84
6,72,522.29
6,73,514.39
6,74,483.26
6,75,580.26
6,76,456.57000000000005
6,77,383.11
6,78,502.22
6,79,521.6
6,80,499.35999999999996
6,81,418.71
6,82,431.34000000000003
6,83,467.64
6,84,389.31
6,85,534.02
6,86,455.71000000000004
6,87,405.11
6,88,469.88
6,89,446.87
6,90,527.5899999999999
6,91,419.71999999999997
6,92,479.97
6,93,437.65
6,94,581.21
6,95,431.11
6,96,503.84000000000003
6,97,578.1800000000001
6,98,503.8
6,99,484.89
7,0,414.26
7,1,435.98
7,2,553.63
7,3,445.52000000000004
7,4,545.89
7,5,464.97
7,6,563.92
7,7,527.42
7,8,541.01
7,9,558.8
7,10,502.44
7,11,425.49
7,12,412.66999999999996
7,13,474.08000000000004
7,14,546.8
7,15,487.13
7,16,469.65999999999997
7,17,462.11
7,18,423.5
7,19,413.62
7,20,524.99
7,21,491.87
7,22,370.52
7,23,493.64
7,24,466.5
7,25,581.86
7,26,458.17
7,27,489.19
7,28,430.1
7,29,489.14
7,30,556.8299999999999
7,31,403.97
7,32,371.64
7,33,557.8299999999999
7,34,518.1700000000001
7,35,475.18
7,36,426.34000000000003
7,37,550.49
7,38,482.62
7,39,537.05
7,40,486.22
7,41,469.61
7,42,484.93
7,43,485.1
7,44,469.45
7,45,467.40999999999997
7,46,453.2
7,47,515.4300000000001
7,48,526.84
7,49,454.64
7,50,413.95
7,51,416.47
7,52,431.63
7,53,461.49
7,54,478.53
7,55,465.55
7,56,439.51
7,57,470.32
7,58,466.15
7,59,567.62
7,60,477.18
7,61,432.76
7,62,402.87
7,63,495.83000000000004
7,64,538.41
7,65,589.04
7,66,448.16999999999996
7,67,451.99
7,68,476.94
7,69,535.71
7,70,501.81999999999994
7,71,556.1
7,72,511.03000000000003
7,73,464.31
7,74,438.09
7,75,548.89
7,76,468.73
7,77,518.5400000000001
7,78,440.87
7,79,504.94999999999993
7,80,413.78
7,81,471.36
7,82,446.38
7,83,462.16999999999996
7,84,512.76
7,85,492.99
7,86,446.48
7,87,611.77
7,88,544.5699999999999
7,89,527.7099999999999
7,90,433.34000000000003
7,91,505.3
7,92,499.88
7,93,465.39
7,94,484.58000000000004
7,95,530.44
7,96,502.0
7,97,489.82
7,98,495.14
7,99,472.39
8,0,610.51
8,1,444.85
8,2,450.90999999999997
8,3,562.11
8,4,460.33000000000004
8,5,371.98
8,6,537.9
8,7,481.69
8,8,474.92999999999995
8,9,538.31
8,10,487.87
8,11,520.45
8,12,408.89
8,13,421.08000000000004
8,14,480.08000000000004
8,15,580.3
8,16,384.75
8,17,435.8
8,18,420.15000000000003
8,19,398.39
8,20,446.63
8,21,424.55
8,22,449.65999999999997
8,23,343.26
8,24,408.40999999999997
8,25,453.22
8,26,448.83000000000004
8,27,400.76
8,28,536.99
8,29,432.46000000000004
8,30,443.30999999999995
8,31,421.13
8,32,395.05999999999995
8,33,455.58000000000004
8,34,492.1
8,35,454.65999999999997
8,36,534.29
8,37,449.75
8,38,438.43000000000006
8,39,467.39
8,40,395.91999999999996
8,41,479.53000000000003
8,42,482.87
8,43,490.92
8,44,504.03
8,45,460.99
8,46,406.13
8,47,374.01
8,48,430.94
8,49,504.20000000000005
8,50,478.76
8,51,498.37
8,52,502.03000000000003
8,53,603.85
8,54,530.25
8,55,465.85
8,56,377.21999999999997
8,57,497.65
8,58,499.82000000000005
8,59,551.9300000000001
8,60,507.61
8,61,417.53
8,62,560.42
8,63,515.9200000000001
8,64,448.09000000000003
8,65,510.23
8,66,508.85
8,67,467.3
8,68,484.87
8,69,526.87
8,70,502.53999999999996
8,71,401.72
8,72,465.84000000000003
8,73,399.64
8,74,398.1
8,75,509.85
8,76,528.7
8,77,437.4
8,78,561.47
8,79,516.31
8,80,433.64
8,81,415.53
8,82,536.1
8,83,493.58
8,84,391.89
8,85,522.04
8,86,414.69000000000005
8,87,434.94
8,88,2240.84
8,89,2240.84
8,90,2240.84
8,91,2240.84
8,92,2240.84
8,93,496.37
8,94,595.35
8,95,509.02
8,96,520.89
8,97,413.45
8,98,470.78999999999996
8,99,434.20000000000005
9,0,511.65999999999997
9,1,473.92999999999995
9,2,547.0
9,3,494.07
9,4,536.47
9,5,492.44
9,6,410.7
9,7,531.1
9,8,495.94000000000005
9,9,364.86
9,10,463.97
9,11,435.65
9,12,407.76
9,13,496.46
9,14,417.35
9,15,472.28999999999996
9,16,551.48
9,17,533.5
9,18,500.95
9,19,522.73
9,20,365.92999999999995
9,21,520.03
9,22,419.08000000000004
9,23,512.26
9,24,485.82
9,25,421.68
9,26,476.28
9,27,531.93
9,28,516.05
9,29,439.03
9,30,446.53999999999996
9,31,459.62
9,32,485.92
9,33,516.17
9,34,538.6800000000001
9,35,520.72
9,36,470.88
9,37,513.34
9,38,517.81
9,39,410.03
9,40,560.78
9,41,479.88
9,42,558.75
9,43,516.3
9,44,426.14
9,45,497.52
9,46,418.30999999999995
9,47,465.42999999999995
9,48,475.89
9,49,457.63
9,50,377.51
9,51,580.8599999999999
9,52,502.18
9,53,539.74
9,54,477.54
9,55,467.17999999999995
9,56,475.82
9,57,430.63
9,58,456.53
9,59,494.21
9,60,473.42
9,61,445.15000000000003
9,62,390.74
9,63,453.6
9,64,437.6
9,65,423.65999999999997
9,66,531.55
9,67,542.44
9,68,540.48
9,69,459.1
9,70,554.23
9,71,460.94
9,72,359.37
9,73,550.35
9,74,458.51
9,75,440.46
9,76,483.56
9,77,478.5
9,78,387.9
9,79,423.48
9,80,462.35
9,81,427.03
9,82,550.04
9,83,500.7800000000001
9,84,403.27
9,85,442.20000000000005
9,86,443.65999999999997
9,87,473.93000000000006
9,88,2240.84
9,89,5974.1900000000005
9,90,5974.1900000000005
9,91,5974.1900000000005
9,92,2240.84
9,93,376.74
9,94,547.22
9,95,489.47
9,96,477.53000000000003
9,97,557.36
9,98,479.91999999999996
9,99,523.27
10,0,583.07
10,1,504.38
10,2,474.31000000000006
10,3,589.44
10,4,418.22
10,5,413.24
10,6,488.0
10,7,481.13
10,8,579.02
10,9,484.21000000000004
10,10,493.6
10,11,569.59
10,12,458.21000000000004
10,13,547.31
10,14,418.24
10,15,524.76
10,16,478.2
10,17,542.1899999999999
10,18,512.74
10,19,423.59000000000003
10,20,450.14
10,21,508.70000000000005
10,22,506.04
10,23,462.40999999999997
10,24,459.3
10,25,487.53
10,26,396.59000000000003
10,27,555.39
10,28,514.27
10,29,436.37
10,30,507.51
10,31,502.31
10,32,458.31
10,33,476.20000000000005
10,34,443.28999999999996
10,35,491.9
10,36,417.03999999999996
10,37,473.15
10,38,406.19
10,39,464.55
10,40,528.22
10,41,385.4
10,42,430.88
10,43,385.52
10,44,517.89
10,45,429.81
10,46,506.23
10,47,481.92999999999995
10,48,469.21000000000004
10,49,561.81
10,50,468.1
10,51,452.98
10,52,413.15
10,53,530.72
10,54,495.15
10,55,446.79999999999995
10,56,470.94
10,57,382.42
10,58,415.54
10,59,537.9300000000001
10,60,478.58000000000004
10,61,511.3399999999999
10,62,460.69
10,63,437.21000000000004
10,64,481.49
10,65,472.86
10,66,451.31999999999994
10,67,524.3199999999999
10,68,445.53
10,69,558.6600000000001
10,70,535.41
10,71,444.67999999999995
10,72,535.47
10,73,509.82000000000005
10,74,397.24
10,75,505.01
10,76,373.53999999999996
10,77,514.28
10,78,531.8199999999999
10,79,487.15
10,80,560.89
10,81,468.07
10,82,518.6800000000001
10,83,528.78
10,84,536.04
10,85,585.47
10,86,464.54
10,87,428.05
10,88,2240.84
10,89,5974.1900000000005
10,90,8019.4
10,91,5974.1900000000005
10,92,2240.84
10,93,466.29
10,94,435.96
10,95,481.14
10,96,503.33000000000004
10,97,474.6
10,98,587.55
10,99,497.35
11,0,484.52
11,1,512.59
11,2,435.96999999999997
11,3,540.0
11,4,508.01000000000005
11,5,376.19
11,6,450.19000000000005
11,7,429.39
11,8,486.59
11,9,398.82
11,10,410.45000000000005
11,11,484.43
11,12,541.76
11,13,507.47
11,14,439.27
11,15,396.82
11,16,412.84000000000003
11,17,384.59000000000003
11,18,414.87
11,19,478.40000000000003
11,20,510.06
11,21,518.4
11,22,490.17
11,23,519.17
11,24,562.9200000000001
11,25,376.95
11,26,447.69
11,27,449.28999999999996
11,28,410.15
11,29,441.96
11,30,398.34999999999997
11,31,601.25
11,32,538.38
11,33,495.6
11,34,482.98
11,35,593.95
11,36,413.69
11,37,467.01
11,38,495.96000000000004
11,39,511.22
11,40,481.95000000000005
11,41,496.09000000000003
11,42,531.96
11,43,384.65
11,44,396.44
11,45,545.29
11,46,508.56
11,47,594.9
11,48,554.71
11,49,588.54
11,50,450.08000000000004
11,51,421.05999999999995
11,52,488.76
11,53,452.0
11,54,496.79999999999995
11,55,551.91
11,56,443.77
11,57,455.71000000000004
11,58,528.45
11,59,440.78999999999996
11,60,420.97
11,61,480.68
11,62,572.06
11,63,486.17
11,64,470.56
11,65,376.97999999999996
11,66,521.84
11,67,516.15
11,68,418.96
11,69,475.13
11,70,493.35
11,71,586.38
11,72,450.16
11,73,470.85
11,74,494.49
11,75,576.45
11,76,576.26
11,77,381.65
11,78,462.27
11,79,464.11
11,80,375.57
11,81,534.2
11,82,344.98
11,83,447.28
11,84,585.6800000000001
11,85,488.20000000000005
11,86,408.01
11,87,388.02
11,88,2240.84
11,89,5974.1900000000005
11,90,5974.1900000000005
11,91,5974.1900000000005
11,92,2240.84
11,93,492.43
11,94,403.75
11,95,417.37
11,96,396.91
11,97,557.89
11,98,572.63
11,99,407.82000000000005
12,0,545.8
12,1,434.15999999999997
12,2,540.27
12,3,482.05
12,4,502.86
12,5,575.1800000000001
12,6,591.31
12,7,514.9200000000001
12,8,508.45000000000005
12,9,368.07
12,10,505.32
12,11,535.09
12,12,457.84000000000003
12,13,457.65999999999997
12,14,470.48
12,15,463.64
12,16,431.67
12,17,501.86
12,18,497.58
12,19,449.06
12,20,2048.88
12,21,2048.88
12,22,2048.88
12,23,2048.88
12,24,2048.88
12,25,529.77
12,26,431.65999999999997
12,27,520.85
12,28,447.64
12,29,488.69
12,30,417.94000000000005
12,31,521.71
12,32,467.03999999999996
12,33,403.15
12,34,512.27
12,35,436.14
12,36,476.17999999999995
12,37,518.64
12,38,518.48
12,39,420.46000000000004
12,40,561.0899999999999
12,41,471.61
12,42,437.26
12,43,601.98
12,44,387.86
12,45,455.34
12,46,463.76
12,47,517.53
12,48,461.9
12,49,548.49
12,50,480.09000000000003
12,51,491.37
12,52,527.0500000000001
12,53,474.75
12,54,530.72
12,55,426.34000000000003
12,56,416.08
12,57,541.6800000000001
12,58,412.09999999999997
12,59,461.94
12,60,542.53
12,61,476.05
12,62,505.76000000000005
12,63,494.04
12,64,490.69
12,65,520.79
12,66,447.93
12,67,400.18999999999994
12,68,526.15
12,69,428.71
12,70,546.44
12,71,588.25
12,72,404.81
12,73,431.5
12,74,510.21999999999997
12,75,405.66999999999996
12,76,529.49
12,77,408.08000000000004
12,78,522.0699999999999
12,79,495.30999999999995
12,80,466.72999999999996
12,81,443.79999999999995
12,82,481.65
12,83,522.35
12,84,425.96000000000004
12,85,548.5
12,86,497.89
12,87,373.44
12,88,2240.84
12,89,2240.84
12,90,2240.84
12,91,2240.84
12,92,2240.84
12,93,416.72
12,94,372.86
12,95,586.55
12,96,520.1
12,97,483.34000000000003
12,98,397.96000000000004
12,99,517.9200000000001
13,0,541.6800000000001
13,1,395.19
13,2,482.90999999999997
13,3,491.62999999999994
13,4,449.73
13,5,386.89
13,6,502.49
13,7,560.86
13,8,477.3
13,9,453.01
13,10,529.4
13,11,349.58
13,12,509.01
13,13,485.65
13,14,471.14
13,15,414.1
13,16,500.22
13,17,479.61
13,18,439.25
13,19,412.51
13,20,2048.88
13,21,5410.91
13,22,5410.91
13,23,5410.91
13,24,2048.88
13,25,524.64
13,26,513.7
13,27,533.3699999999999
13,28,576.4000000000001
13,29,538.51
13,30,556.81
13,31,562.65
13,32,479.74
13,33,430.3
13,34,443.23
13,35,486.32
13,36,463.12
13,37,443.17999999999995
13,38,452.02
13,39,519.68
13,40,531.31
13,41,485.33
13,42,431.92
13,43,465.76
13,44,500.75
13,45,446.62
13,46,463.29999999999995
13,47,504.59000000000003
13,48,369.55999999999995
13,49,478.90000000000003
13,50,492.53
13,51,496.92999999999995
13,52,473.09999999999997
13,53,425.67999999999995
13,54,558.83
13,55,567.75
13,56,513.2
13,57,455.99
13,58,511.57
13,59,461.28
13,60,488.38
13,61,522.72
13,62,566.0999999999999
13,63,489.90999999999997
13,64,460.88
13,65,511.61
13,66,485.9
13,67,490.0
13,68,572.38
13,69,426.41
13,70,423.03999999999996
13,71,527.65
13,72,446.73
13,73,530.97
13,74,514.75
13,75,511.94
13,76,493.26
13,77,494.58000000000004
13,78,521.6099999999999
13,79,491.87
13,80,537.9200000000001
13,81,512.8100000000001
13,82,403.01
13,83,426.17999999999995
13,84,437.71999999999997
13,85,516.44
13,86,403.44
13,87,363.99
13,88,530.67
13,89,523.48
13,90,529.3199999999999
13,91,472.83
13,92,525.72
13,93,584.0500000000001
13,94,444.55
13,95,517.56
13,96,425.43
13,97,570.63
13,98,492.58000000000004
13,99,548.8299999999999
14,0,499.3
14,1,471.75
14,2,468.67
14,3,480.48
14,4,485.28
14,5,394.88
14,6,454.83
14,7,471.29999999999995
14,8,503.7800000000001
14,9,488.40000000000003
14,10,476.94
14,11,446.86
14,12,535.6
14,13,527.26
14,14,525.26
14,15,503.55
14,16,471.14
14,17,595.36
14,18,509.63
14,19,466.78999999999996
14,20,2048.88
14,21,5410.91
14,22,10298.939999999999
14,23,5410.91
14,24,2048.88
14,25,552.8199999999999
14,26,476.0
14,27,430.22
14,28,441.53
14,29,429.05
14,30,392.63
14,31,405.01
14,32,449.53999999999996
14,33,439.09000000000003
14,34,460.51
14,35,503.4
14,36,420.26
14,37,570.26
14,38,464.88
14,39,574.3
14,40,486.23
14,41,352.19000000000005
14,42,520.23
14,43,569.6099999999999
14,44,555.27
14,45,443.20000000000005
14,46,464.01
14,47,417.67999999999995
14,48,484.58000000000004
14,49,351.81
14,50,403.99
14,51,451.39
14,52,444.83
14,53,409.63
14,54,458.70000000000005
14,55,397.38
14,56,480.58
14,57,498.63
14,58,417.32
14,59,385.09000000000003
14,60,464.09000000000003
14,61,470.2
14,62,457.53
14,63,368.91999999999996
14,64,428.14
14,65,557.49
14,66,461.48
14,67,534.52
14,68,573.9300000000001
14,69,470.6
14,70,486.23
14,71,454.26
14,72,416.77
14,73,495.27
14,74,482.11
14,75,481.02
14,76,546.15
14,77,400.98
14,78,441.7
14,79,433.99
14,80,478.96
14,81,392.69000000000005
14,82,394.65999999999997
14,83,411.71000000000004
14,84,517.44
14,85,532.27
14,86,519.54
14,87,427.81
14,88,361.0
14,89,567.16
14,90,435.12
14,91,449.97
14,92,414.73
14,93,441.62
14,94,477.12
14,95,585.4399999999999
14,96,525.96
14,97,427.44
14,98,450.79999999999995
14,99,559.8399999999999
15,0,459.42
15,1,421.51
15,2,447.8
15,3,438.18
15,4,390.03999999999996
15,5,563.01
15,6,466.27
15,7,477.82
15,8,432.53999999999996
15,9,458.34000000000003
15,10,531.2
15,11,424.27
15,12,475.24
15,13,594.74
15,14,551.19
15,15,491.01
15,16,450.84000000000003
15,17,423.23
15,18,489.39
15,19,465.06
15,20,2048.88
15,21,5410.91
15,22,5410.91
15,23,5410.91
15,24,2048.88
15,25,513.6700000000001
15,26,544.64
15,27,461.53999999999996
15,28,437.43
15,29,482.43999999999994
15,30,536.44
15,31,511.47999999999996
15,32,391.63
15,33,413.57
15,34,458.7
15,35,562.36
15,36,520.04
15,37,525.03
15,38,479.88
